"host","region","service","ctlPerf","workload","count","ms","node","ts"
"192.168.137.242","USA","APP","1","27","1","87","4","1686483592941"
"192.168.137.241","USA","APP","2","27","1","74","3","1686483592975"
"192.168.137.240","ASI","index.html","1","18","1","115","3","1686483593108"
"192.168.137.193","USA","index.html","2","24","1","59","3","1686483593107"
"192.168.137.193","ASI","FILE","1","60","2","102","3","1686483593122"
"192.168.137.182","USA","index.html","0","16","1","179","4","1686483593126"
"192.168.137.242","ASI","APP","2","64","2","58","2","1686483593193"
"192.168.137.182","EUR","index.html","2","40","2","56","5","1686483593192"
"192.168.137.240","ASI","index.html","1","39","2","79","1","1686483593191"
"192.168.137.193","EUR","APP","2","87","3","66","6","1686483593193"
"192.168.137.241","USA","FILE","1","67","2","94","3","1686483593192"
"192.168.137.193","ASI","FILE","2","139","4","51","1","1686483593199"
"192.168.137.241","EUR","APP","2","108","3","44","6","1686483593201"
"192.168.137.226","ASI","index.html","2","22","1","67","3","1686483593198"
"192.168.137.218","USA","FILE","2","35","1","66","4","1686483593200"
"192.168.137.196","EUR","index.html","1","20","1","89","5","1686483593220"
"192.168.137.201","ASI","FILE","0","44","1","143","3","1686483593203"
"192.168.137.201","ASI","FILE","1","89","2","95","3","1686483593231"
"192.168.137.220","USA","APP","0","31","1","113","3","1686483593203"
"192.168.137.220","ASI","APP","2","60","2","58","1","1686483593231"
"192.168.137.190","USA","APP","1","24","1","118","4","1686483593202"
"192.168.137.190","USA","index.html","0","43","2","106","3","1686483593222"
"192.168.137.190","USA","APP","1","69","3","92","3","1686483593237"
"192.168.137.190","ASI","FILE","1","99","4","91","1","1686483593244"
"192.168.137.210","EUR","index.html","0","17","1","144","5","1686483593201"
"192.168.137.210","EUR","APP","2","47","2","67","4","1686483593229"
"192.168.137.180","EUR","APP","0","29","1","152","5","1686483593196"
"192.168.137.180","ASI","FILE","1","67","2","111","3","1686483593229"
"192.168.137.202","EUR","FILE","1","36","1","119","6","1686483593203"
"192.168.137.200","USA","APP","0","25","1","180","3","1686483593220"
"192.168.137.202","USA","APP","2","68","2","54","4","1686483593261"
"192.168.137.202","EUR","FILE","2","100","3","66","7","1686483593276"
"192.168.137.200","ASI","index.html","2","48","2","64","2","1686483593262"
"192.168.137.200","USA","APP","2","89","3","41","3","1686483593266"
"192.168.137.200","ASI","APP","2","132","4","42","2","1686483593343"
"192.168.137.196","USA","index.html","0","35","2","198","4","1686483593342"
"192.168.137.196","USA","APP","2","79","3","40","4","1686483593347"
"192.168.137.201","ASI","FILE","2","126","3","55","3","1686483593344"
"192.168.137.200","ASI","index.html","0","152","5","103","3","1686483593351"
"192.168.137.200","ASI","APP","2","186","6","56","3","1686483593357"
"192.168.137.200","EUR","FILE","2","228","7","51","6","1686483593370"
"192.168.137.190","EUR","index.html","2","127","5","44","4","1686483593356"
"192.168.137.190","EUR","APP","0","149","6","140","4","1686483593360"
"192.168.137.190","ASI","index.html","2","170","7","76","2","1686483593364"
"192.168.137.190","ASI","index.html","2","200","8","41","2","1686483593369"
"192.168.137.190","EUR","APP","0","229","9","178","4","1686483593373"
"192.168.137.182","ASI","FILE","1","80","3","83","1","1686483593357"
"192.168.137.182","ASI","FILE","1","127","4","111","2","1686483593372"
"192.168.137.182","ASI","index.html","1","145","5","113","3","1686483593376"
"192.168.137.182","ASI","index.html","0","160","6","182","2","1686483593381"
"192.168.137.182","EUR","index.html","2","188","7","44","4","1686483593385"
"192.168.137.182","ASI","index.html","2","217","8","42","2","1686483593389"
"192.168.137.230","ASI","APP","1","28","1","83","1","1686483593205"
"192.168.137.230","EUR","FILE","0","55","2","162","7","1686483593269"
"192.168.137.180","EUR","APP","0","110","4","186","6","1686483593386"
"192.168.137.218","USA","APP","0","102","4","182","4","1686483593390"
"192.168.137.236","ASI","index.html","1","128","4","113","3","1686483593386"
"192.168.137.202","EUR","APP","2","182","6","47","5","1686483593394"
"192.168.137.226","ASI","FILE","0","147","6","169","3","1686483593395"
"192.168.137.236","EUR","APP","2","163","5","65","6","1686483593397"
"192.168.137.230","EUR","FILE","0","106","4","194","4","1686483593386"
"192.168.137.240","ASI","index.html","0","75","4","173","2","1686483593387"
"192.168.137.202","EUR","APP","1","206","7","105","5","1686483593399"
"192.168.137.240","ASI","index.html","1","59","3","88","2","1686483593360"
"192.168.137.196","EUR","index.html","2","105","4","49","5","1686483593351"
"192.168.137.226","USA","APP","2","59","2","59","4","1686483593358"
"192.168.137.226","USA","index.html","1","78","3","98","3","1686483593373"
"192.168.137.226","EUR","index.html","1","96","4","117","4","1686483593379"
"192.168.137.226","EUR","index.html","2","119","5","62","5","1686483593390"
"192.168.137.196","USA","APP","0","130","5","107","3","1686483593357"
"192.168.137.196","ASI","index.html","1","148","6","113","1","1686483593360"
"192.168.137.180","ASI","index.html","0","86","3","112","3","1686483593356"
"192.168.137.202","ASI","index.html","0","119","4","115","2","1686483593367"
"192.168.137.202","USA","APP","1","147","5","116","4","1686483593390"
"192.168.137.230","EUR","index.html","2","76","3","71","7","1686483593292"
"192.168.137.218","EUR","index.html","1","55","2","94","4","1686483593344"
"192.168.137.218","EUR","index.html","2","76","3","74","7","1686483593385"
"192.168.137.241","USA","index.html","1","130","4","77","4","1686483593365"
"192.168.137.241","ASI","FILE","1","172","5","90","2","1686483593387"
"192.168.137.236","EUR","FILE","2","35","1","67","4","1686483593204"
"192.168.137.236","USA","APP","0","65","2","115","3","1686483593283"
"192.168.137.236","ASI","FILE","0","110","3","110","3","1686483593305"
"192.168.137.193","USA","index.html","0","159","5","105","4","1686483593360"
"192.168.137.193","ASI","FILE","1","204","6","81","2","1686483593384"
"192.168.137.220","USA","index.html","0","78","3","122","3","1686483593360"
"192.168.137.220","ASI","index.html","1","96","4","116","2","1686483593385"
"192.168.137.242","USA","index.html","1","84","3","91","3","1686483593366"
"192.168.137.242","ASI","APP","0","108","4","109","2","1686483593386"
"192.168.137.201","EUR","index.html","0","141","4","196","5","1686483593352"
"192.168.137.201","EUR","APP","0","169","5","122","5","1686483593357"
"192.168.137.201","EUR","index.html","2","192","6","64","6","1686483593360"
"192.168.137.201","ASI","FILE","2","227","7","54","1","1686483593364"
"192.168.137.210","ASI","index.html","2","69","3","67","3","1686483593365"
"192.168.137.201","ASI","APP","0","249","8","141","2","1686483593371"
"192.168.137.201","EUR","FILE","2","293","9","59","6","1686483593376"
"192.168.137.210","EUR","APP","0","98","4","171","6","1686483593370"
"192.168.137.210","EUR","APP","1","126","5","101","4","1686483593376"
"192.168.137.210","USA","APP","2","158","6","67","4","1686483593380"
"192.168.137.226","USA","index.html","0","166","7","117","4","1686483593399"
"192.168.137.210","ASI","APP","1","187","7","90","3","1686483593401"
"192.168.137.180","ASI","FILE","1","150","5","105","3","1686483593401"
"192.168.137.202","USA","APP","1","238","8","111","4","1686483593404"
"192.168.137.193","EUR","APP","0","227","7","151","4","1686483593402"
"192.168.137.210","ASI","FILE","0","232","8","121","2","1686483593406"
"192.168.137.196","EUR","FILE","1","190","7","100","7","1686483593404"
"192.168.137.226","ASI","index.html","0","182","8","177","2","1686483593406"
"192.168.137.242","ASI","APP","1","138","5","83","3","1686483593404"
"192.168.137.193","ASI","FILE","0","265","8","164","3","1686483593408"
"192.168.137.180","USA","index.html","0","169","6","108","3","1686483593410"
"192.168.137.220","EUR","FILE","0","139","5","124","5","1686483593390"
"192.168.137.242","USA","index.html","0","153","6","190","3","1686483593411"
"192.168.137.210","USA","APP","1","261","9","109","3","1686483593411"
"192.168.137.218","ASI","APP","0","126","5","111","3","1686483593412"
"192.168.137.242","EUR","index.html","1","171","7","107","7","1686483593415"
"192.168.137.218","USA","index.html","2","146","6","78","4","1686483593416"
"192.168.137.180","EUR","FILE","2","216","7","66","6","1686483593414"
"192.168.137.220","USA","index.html","2","160","6","74","3","1686483593414"
"192.168.137.241","EUR","index.html","0","191","6","110","4","1686483593413"
"192.168.137.236","ASI","index.html","1","182","6","103","2","1686483593417"
"192.168.137.193","EUR","APP","1","294","9","90","5","1686483593413"
"192.168.137.241","ASI","APP","1","218","7","102","3","1686483593420"
"192.168.137.242","EUR","APP","0","200","8","142","4","1686483593420"
"192.168.137.218","USA","FILE","1","175","7","105","4","1686483593420"
"192.168.137.180","EUR","APP","2","248","8","75","6","1686483593420"
"192.168.137.202","ASI","APP","1","265","9","78","3","1686483593420"
"192.168.137.220","EUR","FILE","1","207","7","83","4","1686483593420"
"192.168.137.230","USA","FILE","0","148","5","157","3","1686483593416"
"192.168.137.236","ASI","index.html","0","199","7","136","1","1686483593424"
"192.168.137.230","EUR","APP","1","174","6","81","5","1686483593427"
"192.168.137.236","EUR","index.html","0","219","8","103","7","1686483593430"
"192.168.137.218","USA","FILE","1","208","8","116","3","1686483593430"
"192.168.137.220","ASI","FILE","1","255","8","101","1","1686483593430"
"192.168.137.241","EUR","index.html","1","240","8","78","7","1686483593430"
"192.168.137.242","EUR","index.html","0","220","9","101","6","1686483593433"
"192.168.137.201","ASI","index.html","0","311","10","131","1","1686483593428"
"192.168.137.220","EUR","APP","1","286","9","113","6","1686483593435"
"192.168.137.230","ASI","index.html","2","204","7","40","3","1686483593437"
"192.168.137.241","USA","index.html","0","257","9","145","4","1686483593436"
"192.168.137.236","USA","FILE","0","267","9","106","3","1686483593436"
"192.168.137.230","ASI","index.html","1","226","8","78","3","1686483593443"
"192.168.137.210","ASI","FILE","1","291","10","110","2","1686483593425"
"192.168.137.236","ASI","FILE","2","312","10","48","2","1686483593443"
